# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
29.088,477.885,4018.514
29.138,473.393,4021.035
29.188,468.892,4023.546
29.238,464.382,4026.05
29.288,459.862,4028.544
29.338,455.334,4031.031
29.388,450.797,4033.508
29.438,446.251,4035.978
29.488,441.696,4038.439
29.538,437.132,4040.891
29.588,432.56,4043.335
29.638,427.979,4045.77
29.688,423.389,4048.198
29.738,418.79,4050.616
29.788,414.184,4053.027
29.838,409.568,4055.429
29.888,404.944,4057.823
29.938,400.312,4060.208
29.988,395.672,4062.586
30.038,391.023,4064.955
30.088,386.366,4067.316
30.138,381.701,4069.668
30.188,377.027,4072.012
30.238,372.346,4074.349
30.288,367.656,4076.677
30.338,362.958,4078.997
30.388,358.253,4081.308
30.438,353.539,4083.612
30.488,348.818,4085.908
30.538,344.089,4088.195
30.588,339.352,4090.475
30.638,334.608,4092.746
30.688,329.855,4095.01
30.738,325.095,4097.265
30.788,320.328,4099.513
30.838,315.553,4101.753
30.888,310.77,4103.984
30.938,305.98,4106.208
30.988,301.183,4108.424
31.038,296.378,4110.632
31.088,291.566,4112.832
31.138,286.747,4115.024
31.188,281.92,4117.209
31.238,277.087,4119.386
31.288,272.246,4121.555
31.338,267.398,4123.716
31.388,262.543,4125.869
31.438,257.681,4128.015
31.488,252.812,4130.153
31.538,247.936,4132.283
31.588,243.054,4134.406
31.638,238.164,4136.521
31.688,233.268,4138.629
31.738,228.365,4140.728
31.788,223.456,4142.821
31.838,218.539,4144.905
31.888,213.617,4146.983
31.938,208.687,4149.052
31.988,203.751,4151.114
32.038,198.809,4153.169
32.088,193.86,4155.216
32.138,188.905,4157.256
32.188,183.944,4159.288
32.238,178.976,4161.313
32.288,174.002,4163.331
32.338,169.021,4165.341
32.388,164.035,4167.344
32.438,159.043,4169.339
32.488,154.044,4171.327
32.538,149.039,4173.308
32.588,144.029,4175.282
32.638,139.012,4177.248
32.688,133.99,4179.207
32.738,128.961,4181.159
32.788,123.927,4183.104
32.838,118.887,4185.042
32.888,113.841,4186.972
32.938,108.79,4188.895
32.988,103.732,4190.811
33.038,98.67,4192.72
33.088,93.601,4194.622
33.138,88.527,4196.517
33.188,83.448,4198.405
33.238,78.363,4200.286
33.288,73.273,4202.16
33.338,68.177,4204.026
33.388,63.076,4205.886
33.438,57.969,4207.739
33.488,52.858,4209.585
33.538,47.741,4211.424
33.588,42.619,4213.257
33.638,37.491,4215.082
33.688,32.359,4216.9
33.738,27.221,4218.712
33.788,22.079,4220.517
33.838,16.931,4222.315
33.888,11.779,4224.106
33.938,6.621,4225.891
33.988,1.459,4227.669
# Event GROUND_HIT occurred at t=34.038 seconds
# Event SIMULATION_END occurred at t=34.038 seconds
34.038,-3.708,4229.44
